smoke,sex,age,edu,weight,height,bmi,sport,marital,region,wkabint,income,ls,ID
NO,MALE,63,VOCATIONAL/GRAMMAR,96.0,170.0,33.2179930795848,NO,MARRIED,Swietokrzyskie,NO,1400.0,MOSTLY SATISFIED,633
NO,FEMALE,39,SECONDARY,70.0,163.0,26.346494034401,YES,DIVORCED,Lubelskie,NO,1637.0,MOSTLY DISSATISFIED,634
NO,FEMALE,21,SECONDARY,55.0,165.0,20.2020202020202,NO,SINGLE,Malopolskie,NO,,PLEASED,635
NO,FEMALE,53,POST-SECONDARY OR HIGHER,72.0,154.0,30.3592511384719,YES,MARRIED,Podkarpackie,NO,,MOSTLY SATISFIED,636
NO,FEMALE,63,PRIMARY/NO EDUCATION,65.0,158.0,26.0374939913475,YES,MARRIED,Slaskie,NO,0.0,PLEASED,637
NO,FEMALE,73,PRIMARY/NO EDUCATION,70.0,170.0,24.2214532871972,YES,WIDOWED,Lodzkie,NO,940.0,PLEASED,638
NO,MALE,29,VOCATIONAL/GRAMMAR,86.0,170.0,29.757785467128,YES,SINGLE,Dolnoslaskie,NO,0.0,MOSTLY SATISFIED,639
NO,FEMALE,80,PRIMARY/NO EDUCATION,65.0,160.0,25.390625,YES,WIDOWED,Warminsko-mazurskie,NO,1400.0,PLEASED,640
NO,MALE,54,PRIMARY/NO EDUCATION,60.0,170.0,20.7612456747405,YES,SINGLE,Zachodnio-pomorskie,NO,300.0,MIXED,641
YES,MALE,33,VOCATIONAL/GRAMMAR,75.0,172.0,25.3515413737155,YES,SINGLE,Malopolskie,NO,1000.0,MOSTLY SATISFIED,642
NO,MALE,59,VOCATIONAL/GRAMMAR,70.0,167.0,25.0995015956112,YES,DIVORCED,Slaskie,NO,2300.0,MIXED,643
NO,FEMALE,24,POST-SECONDARY OR HIGHER,60.0,168.0,21.2585034013605,NO,SINGLE,Mazowieckie,NO,0.0,MOSTLY SATISFIED,644
NO,MALE,23,SECONDARY,100.0,178.0,31.561671506123,YES,SINGLE,Opolskie,YES,500.0,MOSTLY SATISFIED,645
NO,MALE,38,SECONDARY,68.0,170.0,23.5294117647059,YES,MARRIED,Wielkopolskie,YES,1200.0,PLEASED,646
NO,FEMALE,86,PRIMARY/NO EDUCATION,50.0,155.0,20.8116545265349,YES,MARRIED,Slaskie,NO,1000.0,MOSTLY SATISFIED,647
YES,FEMALE,68,PRIMARY/NO EDUCATION,70.0,162.0,26.6727632982777,YES,WIDOWED,Lodzkie,NO,896.0,DELIGHTED,648
YES,FEMALE,28,SECONDARY,55.0,161.0,21.2183171945527,NO,SINGLE,Mazowieckie,NO,1250.0,MOSTLY SATISFIED,649
YES,FEMALE,38,VOCATIONAL/GRAMMAR,58.0,168.0,20.5498866213152,YES,MARRIED,Podkarpackie,NO,,PLEASED,650
NO,FEMALE,60,PRIMARY/NO EDUCATION,98.0,170.0,33.9100346020761,YES,WIDOWED,Mazowieckie,NO,726.0,PLEASED,651
NO,MALE,74,POST-SECONDARY OR HIGHER,73.0,170.0,25.2595155709343,YES,MARRIED,Slaskie,NO,2833.0,MIXED,652
NO,FEMALE,30,POST-SECONDARY OR HIGHER,50.0,160.0,19.53125,NO,SINGLE,Dolnoslaskie,NO,2000.0,PLEASED,653
NO,FEMALE,34,VOCATIONAL/GRAMMAR,64.0,164.0,23.7953599048186,YES,MARRIED,Mazowieckie,NO,2000.0,PLEASED,654
NO,MALE,62,SECONDARY,87.0,165.0,31.9559228650138,YES,MARRIED,Wielkopolskie,NO,2600.0,MOSTLY SATISFIED,655
YES,MALE,64,SECONDARY,92.0,180.0,28.3950617283951,YES,MARRIED,Mazowieckie,NO,1300.0,PLEASED,656
NO,FEMALE,80,PRIMARY/NO EDUCATION,70.0,160.0,27.34375,YES,WIDOWED,Zachodnio-pomorskie,NO,1300.0,MIXED,657
NO,FEMALE,67,SECONDARY,64.0,162.0,24.3865264441396,YES,MARRIED,Lodzkie,NO,1100.0,MOSTLY DISSATISFIED,658
NO,FEMALE,54,SECONDARY,82.0,165.0,30.119375573921,YES,DIVORCED,Malopolskie,NO,2000.0,MIXED,659
YES,MALE,64,PRIMARY/NO EDUCATION,80.0,170.0,27.681660899654,YES,MARRIED,Opolskie,NO,1000.0,MOSTLY SATISFIED,660
YES,FEMALE,41,VOCATIONAL/GRAMMAR,75.0,160.0,29.296875,YES,MARRIED,Mazowieckie,NO,1300.0,MIXED,661
NO,MALE,26,POST-SECONDARY OR HIGHER,70.0,178.0,22.0931700542861,NO,SINGLE,Slaskie,NO,0.0,PLEASED,662
NO,FEMALE,45,POST-SECONDARY OR HIGHER,60.0,166.0,21.7738423573813,YES,MARRIED,Kujawsko-pomorskie,NO,2500.0,PLEASED,663
NO,MALE,65,POST-SECONDARY OR HIGHER,61.0,163.0,22.9590876585494,NO,MARRIED,Zachodnio-pomorskie,NO,2400.0,MOSTLY SATISFIED,664
NO,FEMALE,55,POST-SECONDARY OR HIGHER,75.0,166.0,27.2173029467267,NO,DIVORCED,Lodzkie,NO,2800.0,MOSTLY DISSATISFIED,665
YES,FEMALE,41,POST-SECONDARY OR HIGHER,80.0,167.0,28.6851446806985,NO,MARRIED,Zachodnio-pomorskie,NO,3500.0,PLEASED,666
NO,MALE,58,VOCATIONAL/GRAMMAR,100.0,182.0,30.1895906291511,YES,MARRIED,Podkarpackie,NO,0.0,PLEASED,667
YES,MALE,53,POST-SECONDARY OR HIGHER,88.0,171.0,30.0947300023939,NO,MARRIED,Kujawsko-pomorskie,NO,3500.0,MOSTLY SATISFIED,668
YES,FEMALE,45,VOCATIONAL/GRAMMAR,60.0,164.0,22.3081499107674,YES,MARRIED,Malopolskie,NO,,MOSTLY DISSATISFIED,669
NO,MALE,19,VOCATIONAL/GRAMMAR,,183.0,,YES,SINGLE,Wielkopolskie,NO,,MOSTLY SATISFIED,670
NO,FEMALE,21,VOCATIONAL/GRAMMAR,57.0,174.0,18.8267934998018,YES,SINGLE,Dolnoslaskie,YES,,PLEASED,671
NO,MALE,19,SECONDARY,66.0,185.0,19.2841490138787,NO,SINGLE,Slaskie,YES,,MIXED,672
YES,MALE,53,VOCATIONAL/GRAMMAR,100.0,170.0,34.6020761245675,YES,MARRIED,Swietokrzyskie,NO,1800.0,PLEASED,673
NO,MALE,38,VOCATIONAL/GRAMMAR,70.0,170.0,24.2214532871972,YES,MARRIED,Podkarpackie,NO,0.0,PLEASED,674
NO,MALE,62,VOCATIONAL/GRAMMAR,130.0,174.0,42.9383009644603,YES,MARRIED,Podkarpackie,NO,700.0,MIXED,675
NO,FEMALE,61,VOCATIONAL/GRAMMAR,68.0,152.0,29.4321329639889,YES,MARRIED,Mazowieckie,NO,790.0,MOSTLY SATISFIED,676
NO,MALE,35,VOCATIONAL/GRAMMAR,85.0,176.0,27.4405991735537,YES,MARRIED,Slaskie,YES,1500.0,MIXED,677
NO,FEMALE,58,POST-SECONDARY OR HIGHER,70.0,155.0,29.1363163371488,NO,MARRIED,Wielkopolskie,NO,1600.0,MOSTLY SATISFIED,678
NO,MALE,74,PRIMARY/NO EDUCATION,88.0,178.0,27.7742709253882,YES,WIDOWED,Dolnoslaskie,NO,1200.0,MIXED,679
YES,MALE,57,VOCATIONAL/GRAMMAR,70.0,170.0,24.2214532871972,YES,MARRIED,Wielkopolskie,NO,700.0,MIXED,680
NO,FEMALE,72,SECONDARY,78.0,150.0,34.6666666666667,YES,WIDOWED,Mazowieckie,NO,1300.0,PLEASED,681
NO,FEMALE,62,POST-SECONDARY OR HIGHER,60.0,155.0,24.9739854318418,NO,SINGLE,Wielkopolskie,NO,0.0,PLEASED,682
YES,MALE,59,SECONDARY,60.0,172.0,20.2812330989724,YES,MARRIED,Kujawsko-pomorskie,NO,3000.0,DELIGHTED,683
NO,FEMALE,54,SECONDARY,74.0,170.0,25.6055363321799,NO,MARRIED,Dolnoslaskie,NO,1800.0,PLEASED,684
NO,MALE,60,VOCATIONAL/GRAMMAR,94.0,170.0,32.5259515570934,NO,DIVORCED,Mazowieckie,NO,725.0,MIXED,685
NO,MALE,37,POST-SECONDARY OR HIGHER,84.0,176.0,27.1177685950413,NO,SINGLE,Podkarpackie,NO,3000.0,MOSTLY SATISFIED,686
NO,FEMALE,71,PRIMARY/NO EDUCATION,65.0,165.0,23.8751147842057,YES,WIDOWED,Malopolskie,NO,860.0,PLEASED,687
NO,FEMALE,25,POST-SECONDARY OR HIGHER,57.0,165.0,20.9366391184573,YES,MARRIED,Lodzkie,NO,0.0,PLEASED,688
YES,FEMALE,40,VOCATIONAL/GRAMMAR,75.0,164.0,27.8851873884593,YES,MARRIED,Swietokrzyskie,NO,,MIXED,689
NO,MALE,29,POST-SECONDARY OR HIGHER,100.0,190.0,27.7008310249307,NO,SINGLE,Dolnoslaskie,NO,2500.0,PLEASED,690
NO,MALE,55,VOCATIONAL/GRAMMAR,85.0,174.0,28.075042938301,YES,MARRIED,Dolnoslaskie,NO,1900.0,PLEASED,691
NO,FEMALE,56,SECONDARY,70.0,158.0,28.0403781445281,YES,WIDOWED,Warminsko-mazurskie,NO,,MOSTLY SATISFIED,692
NO,MALE,57,VOCATIONAL/GRAMMAR,87.0,174.0,28.735632183908,NO,MARRIED,Slaskie,NO,8000.0,PLEASED,693
YES,MALE,75,PRIMARY/NO EDUCATION,65.0,173.0,21.7180660897457,NO,MARRIED,Lubelskie,NO,800.0,MIXED,694
NO,FEMALE,81,PRIMARY/NO EDUCATION,42.0,146.0,19.7035091011447,YES,MARRIED,Lubelskie,NO,900.0,MIXED,695
NO,MALE,22,VOCATIONAL/GRAMMAR,80.0,176.0,25.8264462809917,YES,SINGLE,Swietokrzyskie,NO,0.0,PLEASED,696
NO,MALE,63,VOCATIONAL/GRAMMAR,70.0,176.0,22.5981404958678,YES,MARRIED,Slaskie,NO,2400.0,MOSTLY SATISFIED,697
NO,MALE,26,POST-SECONDARY OR HIGHER,74.0,174.0,24.441802087462,YES,SINGLE,Kujawsko-pomorskie,NO,3900.0,PLEASED,698
NO,FEMALE,76,PRIMARY/NO EDUCATION,65.0,170.0,22.4913494809689,YES,WIDOWED,Kujawsko-pomorskie,NO,800.0,PLEASED,699
NO,FEMALE,82,SECONDARY,,,,YES,WIDOWED,Mazowieckie,NO,1600.0,MOSTLY SATISFIED,700
NO,MALE,41,SECONDARY,90.0,165.0,33.0578512396694,YES,MARRIED,Slaskie,NO,1400.0,MIXED,701
YES,MALE,25,SECONDARY,68.0,178.0,21.4619366241636,NO,SINGLE,Lubuskie,NO,1300.0,MOSTLY DISSATISFIED,702
NO,FEMALE,35,POST-SECONDARY OR HIGHER,63.0,116.0,46.8192627824019,NO,MARRIED,Malopolskie,NO,1900.0,PLEASED,703
NO,FEMALE,49,POST-SECONDARY OR HIGHER,63.0,152.0,27.2680055401662,NO,MARRIED,Lodzkie,NO,2500.0,PLEASED,704
NO,MALE,89,PRIMARY/NO EDUCATION,55.0,160.0,21.484375,YES,MARRIED,Opolskie,NO,1700.0,MIXED,705
NO,FEMALE,30,POST-SECONDARY OR HIGHER,56.0,157.0,22.7189744005842,NO,SINGLE,Malopolskie,NO,1200.0,MOSTLY SATISFIED,706
NO,FEMALE,52,POST-SECONDARY OR HIGHER,80.0,160.0,31.25,YES,DIVORCED,Swietokrzyskie,NO,0.0,MIXED,707
NO,FEMALE,71,PRIMARY/NO EDUCATION,96.0,170.0,33.2179930795848,YES,DIVORCED,Dolnoslaskie,NO,1300.0,MIXED,708
NO,FEMALE,22,SECONDARY,65.0,176.0,20.9839876033058,NO,SINGLE,Malopolskie,NO,1100.0,DELIGHTED,709
NO,MALE,34,SECONDARY,88.0,174.0,29.0659268067116,YES,SINGLE,Warminsko-mazurskie,NO,0.0,MIXED,710
YES,FEMALE,51,VOCATIONAL/GRAMMAR,51.0,160.0,19.921875,YES,MARRIED,Dolnoslaskie,NO,500.0,MIXED,711
NO,MALE,78,POST-SECONDARY OR HIGHER,86.0,180.0,26.5432098765432,NO,MARRIED,Malopolskie,NO,2400.0,PLEASED,712
NO,FEMALE,73,SECONDARY,60.0,155.0,24.9739854318418,YES,WIDOWED,Lubelskie,NO,0.0,MIXED,713
NO,MALE,80,PRIMARY/NO EDUCATION,70.0,167.0,25.0995015956112,YES,MARRIED,Mazowieckie,NO,750.0,MOSTLY SATISFIED,714
NO,FEMALE,58,VOCATIONAL/GRAMMAR,68.0,160.0,26.5625,YES,MARRIED,Slaskie,NO,,MOSTLY DISSATISFIED,715
YES,FEMALE,21,VOCATIONAL/GRAMMAR,60.0,164.0,22.3081499107674,NO,SINGLE,Kujawsko-pomorskie,NO,1300.0,PLEASED,716
NO,FEMALE,56,SECONDARY,80.0,170.0,27.681660899654,YES,DE FACTO SEPARATED,Podkarpackie,NO,2000.0,MIXED,717
NO,FEMALE,40,SECONDARY,53.0,158.0,21.2305720237141,YES,MARRIED,Swietokrzyskie,NO,1400.0,MOSTLY SATISFIED,718
YES,MALE,44,VOCATIONAL/GRAMMAR,103.0,176.0,33.2515495867769,YES,MARRIED,Lodzkie,NO,2000.0,PLEASED,719
NO,MALE,36,POST-SECONDARY OR HIGHER,95.0,185.0,27.7574872169467,NO,MARRIED,Pomorskie,NO,10000.0,PLEASED,720
YES,MALE,28,VOCATIONAL/GRAMMAR,78.0,176.0,25.1807851239669,YES,MARRIED,Pomorskie,NO,1700.0,MOSTLY SATISFIED,721
NO,FEMALE,38,PRIMARY/NO EDUCATION,56.0,165.0,20.5693296602388,YES,MARRIED,Pomorskie,NO,803.0,PLEASED,722
NO,FEMALE,37,VOCATIONAL/GRAMMAR,54.0,160.0,21.09375,YES,MARRIED,Lubelskie,NO,200.0,PLEASED,723
NO,MALE,88,PRIMARY/NO EDUCATION,71.0,158.0,28.4409549751642,YES,WIDOWED,Swietokrzyskie,NO,2100.0,MIXED,724
NO,MALE,65,PRIMARY/NO EDUCATION,90.0,176.0,29.0547520661157,YES,MARRIED,Malopolskie,NO,1800.0,PLEASED,725
NO,FEMALE,51,VOCATIONAL/GRAMMAR,100.0,169.0,35.0127796645776,YES,MARRIED,Lodzkie,NO,400.0,MOSTLY SATISFIED,726
NO,MALE,49,VOCATIONAL/GRAMMAR,115.0,196.0,29.9354435651812,NO,MARRIED,Slaskie,NO,2000.0,PLEASED,727
YES,MALE,49,SECONDARY,79.0,182.0,23.8497765970293,NO,MARRIED,Pomorskie,NO,1620.0,MOSTLY SATISFIED,728
NO,FEMALE,88,SECONDARY,80.0,160.0,31.25,YES,WIDOWED,Podkarpackie,NO,1000.0,MOSTLY SATISFIED,729
NO,FEMALE,51,SECONDARY,90.0,162.0,34.2935528120713,YES,MARRIED,Swietokrzyskie,NO,650.0,PLEASED,730
NO,MALE,55,SECONDARY,60.0,160.0,23.4375,NO,DIVORCED,Dolnoslaskie,NO,1400.0,PLEASED,731
NO,FEMALE,42,VOCATIONAL/GRAMMAR,69.0,176.0,22.2753099173554,YES,MARRIED,Pomorskie,NO,0.0,PLEASED,732
NO,FEMALE,27,VOCATIONAL/GRAMMAR,62.0,163.0,23.3354661447552,YES,MARRIED,Warminsko-mazurskie,NO,0.0,PLEASED,733
YES,MALE,22,VOCATIONAL/GRAMMAR,68.0,174.0,22.4600343506408,YES,SINGLE,Pomorskie,NO,900.0,MOSTLY SATISFIED,734
NO,MALE,58,SECONDARY,100.0,176.0,32.2830578512397,YES,MARRIED,Lodzkie,NO,1200.0,PLEASED,735
NO,MALE,54,SECONDARY,70.0,176.0,22.5981404958678,NO,SINGLE,Podlaskie,NO,1800.0,MOSTLY SATISFIED,736
NO,FEMALE,28,SECONDARY,46.0,155.0,19.1467221644121,NO,SINGLE,Dolnoslaskie,NO,7500.0,MOSTLY DISSATISFIED,737
NO,MALE,53,VOCATIONAL/GRAMMAR,98.0,175.0,32.0,YES,MARRIED,Lodzkie,NO,1200.0,PLEASED,738
NO,FEMALE,27,POST-SECONDARY OR HIGHER,61.0,164.0,22.6799524092802,NO,SINGLE,Lubelskie,YES,2400.0,PLEASED,739
YES,FEMALE,18,VOCATIONAL/GRAMMAR,53.0,168.0,18.7783446712018,NO,SINGLE,Kujawsko-pomorskie,NO,,PLEASED,740
NO,FEMALE,37,VOCATIONAL/GRAMMAR,70.0,165.0,25.7116620752984,YES,MARRIED,Malopolskie,NO,600.0,PLEASED,741
NO,MALE,28,POST-SECONDARY OR HIGHER,86.0,183.0,25.680074054167,NO,SINGLE,Zachodnio-pomorskie,NO,1670.0,MIXED,742
NO,MALE,67,SECONDARY,90.0,160.0,35.15625,YES,MARRIED,Malopolskie,NO,1000.0,MIXED,743
NO,FEMALE,16,PRIMARY/NO EDUCATION,59.0,167.0,21.1552942020151,NO,SINGLE,Slaskie,NO,0.0,PLEASED,744
NO,MALE,17,VOCATIONAL/GRAMMAR,54.0,170.0,18.6851211072664,NO,SINGLE,Slaskie,NO,,MOSTLY SATISFIED,745
NO,FEMALE,31,POST-SECONDARY OR HIGHER,50.0,155.0,20.8116545265349,YES,SINGLE,Lubuskie,NO,1000.0,PLEASED,746
NO,MALE,70,SECONDARY,82.0,176.0,26.4721074380165,YES,MARRIED,Swietokrzyskie,NO,1400.0,PLEASED,747
NO,FEMALE,54,POST-SECONDARY OR HIGHER,65.0,158.0,26.0374939913475,NO,SINGLE,Slaskie,NO,1900.0,MOSTLY SATISFIED,748
YES,MALE,46,SECONDARY,98.0,181.0,29.913616800464,YES,MARRIED,Slaskie,NO,3500.0,PLEASED,749
NO,FEMALE,17,VOCATIONAL/GRAMMAR,56.0,173.0,18.7109492465502,YES,SINGLE,Lodzkie,NO,0.0,MOSTLY SATISFIED,750
YES,FEMALE,58,PRIMARY/NO EDUCATION,100.0,160.0,39.0625,NO,MARRIED,Zachodnio-pomorskie,NO,1300.0,PLEASED,751
NO,FEMALE,74,SECONDARY,70.0,160.0,27.34375,YES,MARRIED,Lubuskie,NO,870.0,MIXED,752
NO,FEMALE,43,VOCATIONAL/GRAMMAR,73.0,168.0,25.8645124716553,NO,MARRIED,Malopolskie,NO,3000.0,MIXED,753
NO,MALE,22,SECONDARY,80.0,178.0,25.2493372048984,NO,SINGLE,Swietokrzyskie,YES,,DELIGHTED,754
NO,MALE,20,SECONDARY,98.0,188.0,27.7274784970575,NO,SINGLE,Podlaskie,NO,,PLEASED,755
NO,MALE,67,SECONDARY,68.0,173.0,22.7204383708109,NO,MARRIED,Slaskie,NO,2010.0,MOSTLY SATISFIED,756
NO,FEMALE,28,VOCATIONAL/GRAMMAR,54.0,165.0,19.8347107438017,NO,DIVORCED,Lodzkie,NO,700.0,MOSTLY DISSATISFIED,757
YES,FEMALE,65,PRIMARY/NO EDUCATION,70.0,160.0,27.34375,NO,MARRIED,Swietokrzyskie,NO,800.0,PLEASED,758
NO,FEMALE,61,SECONDARY,68.0,158.0,27.2392244832559,YES,WIDOWED,Lodzkie,NO,1370.0,MOSTLY SATISFIED,759
NO,MALE,69,PRIMARY/NO EDUCATION,104.0,174.0,34.3506407715682,YES,MARRIED,Podlaskie,NO,1140.0,MOSTLY SATISFIED,760
NO,FEMALE,61,PRIMARY/NO EDUCATION,70.0,164.0,26.0261748958953,NO,MARRIED,Lubuskie,NO,,PLEASED,761
NO,MALE,31,PRIMARY/NO EDUCATION,100.0,175.0,32.6530612244898,YES,SINGLE,Kujawsko-pomorskie,NO,600.0,MIXED,762
YES,FEMALE,23,POST-SECONDARY OR HIGHER,73.0,176.0,23.566632231405,YES,SINGLE,Podkarpackie,NO,,MOSTLY SATISFIED,763
NO,MALE,60,VOCATIONAL/GRAMMAR,83.0,179.0,25.9043101026809,YES,MARRIED,Warminsko-mazurskie,YES,1000.0,MOSTLY SATISFIED,764
NO,MALE,32,POST-SECONDARY OR HIGHER,90.0,180.0,27.7777777777778,NO,MARRIED,Kujawsko-pomorskie,NO,2500.0,PLEASED,765
NO,MALE,53,POST-SECONDARY OR HIGHER,75.0,175.0,24.4897959183673,NO,MARRIED,Slaskie,NO,0.0,PLEASED,766
YES,MALE,52,POST-SECONDARY OR HIGHER,64.0,166.0,23.2254318478734,NO,MARRIED,Lubuskie,NO,2800.0,PLEASED,767
NO,MALE,56,VOCATIONAL/GRAMMAR,95.0,185.0,27.7574872169467,YES,SINGLE,Podkarpackie,NO,700.0,MIXED,768
YES,FEMALE,59,SECONDARY,53.0,158.0,21.2305720237141,YES,WIDOWED,Warminsko-mazurskie,NO,1000.0,MIXED,769
NO,FEMALE,19,VOCATIONAL/GRAMMAR,51.0,168.0,18.0697278911565,YES,SINGLE,Podkarpackie,NO,,MOSTLY SATISFIED,770
NO,FEMALE,65,SECONDARY,68.0,155.0,28.3038501560874,NO,WIDOWED,Lubelskie,NO,1400.0,PLEASED,771
NO,FEMALE,27,POST-SECONDARY OR HIGHER,64.0,162.0,24.3865264441396,NO,MARRIED,Mazowieckie,NO,3100.0,PLEASED,772
NO,MALE,57,SECONDARY,90.0,168.0,31.8877551020408,YES,MARRIED,Malopolskie,NO,600.0,MOSTLY SATISFIED,773
NO,FEMALE,46,SECONDARY,86.0,168.0,30.4705215419501,YES,MARRIED,Podlaskie,NO,1000.0,PLEASED,774
YES,MALE,32,VOCATIONAL/GRAMMAR,90.0,176.0,29.0547520661157,NO,MARRIED,Warminsko-mazurskie,NO,1800.0,MOSTLY SATISFIED,775
YES,FEMALE,39,VOCATIONAL/GRAMMAR,53.0,165.0,19.4674012855831,YES,MARRIED,Malopolskie,NO,1300.0,PLEASED,776
NO,MALE,71,VOCATIONAL/GRAMMAR,76.0,176.0,24.5351239669421,NO,MARRIED,Wielkopolskie,NO,700.0,MOSTLY SATISFIED,777
NO,MALE,69,POST-SECONDARY OR HIGHER,76.0,175.0,24.8163265306122,YES,MARRIED,Dolnoslaskie,NO,2000.0,PLEASED,778
NO,FEMALE,81,PRIMARY/NO EDUCATION,80.0,156.0,32.8731097961867,YES,WIDOWED,Slaskie,NO,3300.0,PLEASED,779
NO,MALE,62,POST-SECONDARY OR HIGHER,110.0,185.0,32.1402483564646,NO,MARRIED,Slaskie,NO,3200.0,MOSTLY SATISFIED,780
NO,FEMALE,60,PRIMARY/NO EDUCATION,73.0,164.0,27.1415823914337,YES,WIDOWED,Lubelskie,NO,700.0,PLEASED,781
NO,FEMALE,64,SECONDARY,75.0,160.0,29.296875,YES,MARRIED,Malopolskie,NO,1300.0,PLEASED,782
NO,MALE,61,VOCATIONAL/GRAMMAR,78.0,160.0,30.46875,YES,MARRIED,Slaskie,NO,2900.0,PLEASED,783
NO,FEMALE,40,SECONDARY,68.0,163.0,25.5937370619895,YES,MARRIED,Mazowieckie,NO,950.0,MOSTLY SATISFIED,784
NO,MALE,21,SECONDARY,102.0,180.0,31.4814814814815,NO,SINGLE,Podlaskie,NO,1000.0,MOSTLY SATISFIED,785
NO,MALE,70,PRIMARY/NO EDUCATION,80.0,187.0,22.8774057021934,YES,MARRIED,Malopolskie,NO,2200.0,MOSTLY SATISFIED,786
NO,FEMALE,31,SECONDARY,65.0,166.0,23.5883292204964,YES,SINGLE,Lodzkie,NO,480.0,MOSTLY DISSATISFIED,787
NO,MALE,49,VOCATIONAL/GRAMMAR,72.0,176.0,23.2438016528926,NO,MARRIED,Podlaskie,NO,2500.0,PLEASED,788
NO,MALE,49,PRIMARY/NO EDUCATION,76.0,176.0,24.5351239669421,NO,SINGLE,Zachodnio-pomorskie,NO,604.0,MIXED,789
NO,MALE,21,SECONDARY,75.0,170.0,25.9515570934256,NO,SINGLE,Lubelskie,YES,,PLEASED,790
NO,FEMALE,23,SECONDARY,53.0,160.0,20.703125,NO,SINGLE,Lodzkie,NO,0.0,PLEASED,791
YES,MALE,60,VOCATIONAL/GRAMMAR,78.0,180.0,24.0740740740741,YES,MARRIED,Lubuskie,NO,2000.0,MOSTLY SATISFIED,792
NO,MALE,63,PRIMARY/NO EDUCATION,80.0,176.0,25.8264462809917,YES,MARRIED,Lodzkie,NO,1700.0,PLEASED,793
YES,MALE,18,PRIMARY/NO EDUCATION,84.0,189.0,23.5155790711346,NO,SINGLE,Kujawsko-pomorskie,NO,,MIXED,794
NO,FEMALE,80,SECONDARY,70.0,158.0,28.0403781445281,YES,WIDOWED,Pomorskie,NO,2000.0,MOSTLY SATISFIED,795
NO,FEMALE,32,POST-SECONDARY OR HIGHER,,,,NO,MARRIED,Mazowieckie,NO,0.0,MOSTLY SATISFIED,796
NO,FEMALE,70,PRIMARY/NO EDUCATION,70.0,164.0,26.0261748958953,YES,WIDOWED,Lubelskie,NO,780.0,MIXED,797
NO,FEMALE,78,PRIMARY/NO EDUCATION,66.0,155.0,27.471383975026,YES,WIDOWED,Lubelskie,NO,3900.0,PLEASED,798
NO,MALE,78,VOCATIONAL/GRAMMAR,65.0,170.0,22.4913494809689,YES,MARRIED,Swietokrzyskie,NO,0.0,MOSTLY SATISFIED,799
NO,MALE,44,POST-SECONDARY OR HIGHER,80.0,173.0,26.7299274950717,NO,MARRIED,Zachodnio-pomorskie,NO,4000.0,PLEASED,800
NO,MALE,19,VOCATIONAL/GRAMMAR,77.0,194.0,20.4591348708683,NO,SINGLE,Malopolskie,YES,0.0,PLEASED,801
NO,FEMALE,26,POST-SECONDARY OR HIGHER,65.0,168.0,23.0300453514739,NO,SINGLE,Lubelskie,NO,1200.0,PLEASED,802
YES,FEMALE,52,VOCATIONAL/GRAMMAR,69.0,168.0,24.4472789115646,YES,WIDOWED,Malopolskie,NO,1300.0,MIXED,803
NO,MALE,22,VOCATIONAL/GRAMMAR,80.0,178.0,25.2493372048984,NO,SINGLE,Dolnoslaskie,NO,,MOSTLY SATISFIED,804
YES,FEMALE,37,POST-SECONDARY OR HIGHER,60.0,165.0,22.038567493113,NO,MARRIED,Mazowieckie,NO,1800.0,PLEASED,805
NO,FEMALE,30,SECONDARY,70.0,165.0,25.7116620752984,YES,MARRIED,Lodzkie,NO,,MOSTLY SATISFIED,806
NO,MALE,21,SECONDARY,70.0,174.0,23.1206235962479,NO,SINGLE,Podkarpackie,YES,260.0,MOSTLY SATISFIED,807
NO,FEMALE,27,SECONDARY,65.0,170.0,22.4913494809689,NO,SINGLE,Wielkopolskie,NO,4800.0,PLEASED,808
NO,MALE,54,POST-SECONDARY OR HIGHER,84.0,175.0,27.4285714285714,NO,MARRIED,Mazowieckie,NO,5000.0,PLEASED,809
NO,MALE,43,VOCATIONAL/GRAMMAR,105.0,182.0,31.6990701606086,YES,MARRIED,Lubelskie,NO,0.0,MOSTLY SATISFIED,810
NO,MALE,19,VOCATIONAL/GRAMMAR,65.0,180.0,20.0617283950617,NO,SINGLE,Malopolskie,NO,,PLEASED,811
NO,FEMALE,37,POST-SECONDARY OR HIGHER,69.0,161.0,26.6193433895297,YES,MARRIED,Wielkopolskie,NO,0.0,PLEASED,812
YES,MALE,62,VOCATIONAL/GRAMMAR,91.0,182.0,27.4725274725275,YES,DIVORCED,Pomorskie,NO,1900.0,MOSTLY SATISFIED,813
YES,MALE,53,VOCATIONAL/GRAMMAR,65.0,170.0,22.4913494809689,YES,MARRIED,Zachodnio-pomorskie,YES,0.0,MOSTLY SATISFIED,814
NO,MALE,45,VOCATIONAL/GRAMMAR,110.0,178.0,34.7178386567353,NO,MARRIED,Lubuskie,NO,1700.0,PLEASED,815
YES,FEMALE,32,VOCATIONAL/GRAMMAR,81.0,160.0,31.640625,YES,WIDOWED,Slaskie,NO,0.0,MIXED,816
YES,FEMALE,57,PRIMARY/NO EDUCATION,56.0,154.0,23.6127508854782,YES,MARRIED,Slaskie,NO,450.0,MIXED,817
YES,FEMALE,38,VOCATIONAL/GRAMMAR,58.0,160.0,22.65625,YES,DIVORCED,Mazowieckie,NO,1400.0,MOSTLY DISSATISFIED,818
YES,FEMALE,43,SECONDARY,50.0,165.0,18.3654729109275,YES,DE FACTO SEPARATED,Lubelskie,NO,1000.0,MOSTLY DISSATISFIED,819
